                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1758,                0.89398,                0.99474,                 2.3487,             0.00023718,             0.00023718,             0.00023718
                      2,                0.50171,                0.95789,                 0.9985,                 2.1296,             0.00042814,             0.00042814,             0.00042814
                      3,                0.25799,                0.96992,                      1,                 2.0907,             0.00057197,             0.00057197,             0.00057197
                      4,                0.17194,                 0.9797,                0.99925,                 2.0679,             0.00050194,             0.00050194,             0.00050194
                      5,                0.13388,                0.98722,                      1,                 2.0624,             0.00043126,             0.00043126,             0.00043126
                      6,                0.10268,                0.98346,                      1,                 2.0622,             0.00036057,             0.00036057,             0.00036057
                      7,                0.08362,                0.98872,                0.99925,                 2.0528,             0.00028988,             0.00028988,             0.00028988
                      8,                0.08569,                0.98872,                0.99925,                  2.052,              0.0002192,              0.0002192,              0.0002192
                      9,                0.06729,                0.98947,                      1,                 2.0476,             0.00014851,             0.00014851,             0.00014851
                     10,                0.05816,                0.99098,                      1,                 2.0467,             7.7826e-05,             7.7826e-05,             7.7826e-05
